candidate_id,mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,segmento,valor_segmento,target,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos,false_positive_rate
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.06762491858896992,0.327833206762545,,,-0.041619637745715476,0.9066280892410826,,,,,94,id_material,PD006,roi,0.006231597043511478,0.9367729742505096,0.9680851063829787,0.9622641509433962,0.9807692307692307,0.9714285714285714,0.975609756097561,0.9523809523809523,0.963855421686747,2.0,1.0,0.02127659574468085
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.015760612708592473,0.06026687334878734,,,0.006079879837924646,0.9958978875685095,,,,,94,id_material,PD007,roi,0.00461738798691444,0.9997615771374574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.06004500539008892,0.3417908102990395,,,0.038132718558499534,0.8912401953548821,,,,,107,id_material,PD008,roi,0.006391838099052638,0.9899749471196451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.3700309270442323,1.7129684894194102,,,-0.16729932186446492,0.3337387093787242,,,,,92,id_material,PD009,roi,0.006139553253666635,0.9563605702418794,0.9891304347826086,0.9807692307692307,1.0,0.9902912621359223,1.0,0.975609756097561,0.9876543209876543,1.0,0.0,0.010869565217391304
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.011976663228574864,0.039684698069877365,,,0.0026710890952309076,0.9980275151815086,,,,,108,id_material,PD010,roi,0.006227160436445944,0.9997737283464511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.04542911050046851,0.337806324535523,,,-0.029233677652386852,0.8821133746610964,,,,,102,id_material,PD011,roi,0.0054479457735455775,0.9898554666097507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.24583660455113934,2.311761146682232,,,-0.23578654848126213,0.2910849627034584,,,,,102,id_material,PD012,roi,0.007321104243078448,0.999578710244917,0.9901960784313726,1.0,0.9850746268656716,0.9924812030075187,0.9722222222222222,1.0,0.9859154929577465,0.0,1.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.11664056506786345,0.6030537538314241,,,-0.008029423000801946,0.7699603235932099,,,,,104,id_material,PD013,roi,0.0076168720506322105,0.9718985014047792,0.9807692307692307,1.0,0.9696969696969697,0.9846153846153847,0.95,1.0,0.9743589743589743,0.0,2.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.010902128409708615,0.015672974668681883,,,0.008216599583799748,0.9998067802987468,,,,,15,id_material,PD014,roi,0.005967091108385447,0.9928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.006731176726223391,0.009812785236372504,,,-0.002666592425859275,0.9998201660434031,,,,,15,id_material,PD015,roi,0.0044454483114300045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
